,p,sep1,sed1,time
91,0.13692480359147025,0.6507583882334916,0.6507583882334916,91
92,0.14135564361014474,0.6456985649490669,0.6456985649490669,92
93,0.14544688471059145,0.643539976825029,0.643539976825029,93
94,0.14950548348620948,0.649110420785089,0.649110420785089,94
95,0.15335040636640704,0.6468842729970327,0.6468842729970327,95
96,0.1572458390755857,0.6459920447650509,0.6459920447650509,96
97,0.16072528733190286,0.6413323640208842,0.6413323640208842,97
98,0.16348968145002502,0.642991992708808,0.642991992708808,98
99,0.16665067127333993,0.6427565907345789,0.6427565907345789,99
100,0.16909832738769145,0.641611925214755,0.641611925214755,100
101,0.17188938119394678,0.6377560550401594,0.6377560550401594,101
102,0.1741335134381801,0.6389213815181924,0.6389213815181924,102
103,0.1762363271396215,0.6380801559264222,0.6380801559264222,103
104,0.17732189321119068,0.6357627940819791,0.6357627940819791,104
105,0.17904277994273043,0.6311928811928812,0.6311928811928812,105
106,0.1800709288663239,0.6260999700688417,0.6260999700688417,106
107,0.18034415009607704,0.622710403447863,0.622710403447863,107
108,0.18091462031265193,0.6168637286516183,0.6168637286516183,108
109,0.1806207418622256,0.6099269548557059,0.6099269548557059,109
110,0.18001190411774254,0.606949621257665,0.606949621257665,110
111,0.17890906728176473,0.6094667393014951,0.6094667393014951,111
112,0.1777349460211584,0.6035701230656756,0.6035701230656756,112
113,0.17555127149850538,0.5997285458695786,0.5997285458695786,113
114,0.1731859901290155,0.5982751078057621,0.5982751078057621,114
115,0.17099728592900162,0.5930188440622234,0.5930188440622234,115
116,0.16892373485388454,0.5932745173251502,0.5932745173251502,116
117,0.16601566714862212,0.5913817756401923,0.5913817756401923,117
118,0.16304113487409452,0.5876363636363636,0.5876363636363636,118
119,0.15991296667312954,0.5872962414118281,0.5872962414118281,119
120,0.15657049384974656,0.5844387930441954,0.5844387930441954,120
121,0.1536791651889824,0.573916083916084,0.573916083916084,121
122,0.14987443387924188,0.5695667740780522,0.5695667740780522,122
123,0.14589698236586804,0.5633357825128582,0.5633357825128582,123
124,0.14164615219950766,0.5634728729031283,0.5634728729031283,124
125,0.13765822784810128,0.5536657347002174,0.5536657347002174,125
126,0.13294328664161256,0.5509155155798265,0.5509155155798265,126
127,0.1288146071607491,0.5525031030202731,0.5525031030202731,127
128,0.12436931854469589,0.5521225607668606,0.5521225607668606,128
129,0.11949545184051688,0.5525122276567364,0.5525122276567364,129
130,0.11472748111045081,0.5469429284987513,0.5469429284987513,130
131,0.10969690546841881,0.5454545454545454,0.5454545454545454,131
132,0.1054023462706145,0.5419510236852669,0.5419510236852669,132
133,0.10083936018582063,0.5409904722018637,0.5409904722018637,133
134,0.09677181448469141,0.5396842678279804,0.5396842678279804,134
135,0.09263095901647965,0.5415531335149864,0.5415531335149864,135
136,0.08854647745402637,0.5374585111427217,0.5374585111427217,136
137,0.08477381775514908,0.5337370242214533,0.5337370242214533,137
138,0.08093833668005354,0.5313347977774906,0.5313347977774906,138
139,0.07731404656793679,0.5280777537796977,0.5280777537796977,139
140,0.07369912094321543,0.5289711701526286,0.5289711701526286,140
141,0.07037568348614316,0.5228951255539144,0.5228951255539144,141
142,0.06724293585978602,0.5223765432098766,0.5223765432098766,142
143,0.0640013264523617,0.5234779792746114,0.5234779792746114,143
144,0.06064681661114445,0.5203002388263391,0.5203002388263391,144
145,0.057572689136409665,0.5186647523330941,0.5186647523330941,145
146,0.054461217793278505,0.5121258052292536,0.5121258052292536,146
147,0.051763396766848345,0.5085589171974523,0.5085589171974523,147
148,0.04908202622782206,0.5079631181894384,0.5079631181894384,148
149,0.04630143177009511,0.5042147293700089,0.5042147293700089,149
150,0.04361252462245568,0.5010585744530699,0.5010585744530699,150
151,0.04147323761797891,0.5003706449221645,0.5003706449221645,151
152,0.03893671248861275,0.49185068349106204,0.49185068349106204,152
153,0.03651852003354263,0.49425931111733407,0.49425931111733407,153
154,0.03454298466912478,0.5014784151389711,0.5014784151389711,154
155,0.03254736713226066,0.5,0.5,155
156,0.03067859836516705,0.5043189368770764,0.5043189368770764,156
157,0.028539719388274584,0.4987513378523011,0.4987513378523011,157
158,0.027036098989960636,0.49736644093303234,0.49736644093303234,158
159,0.02541554414680018,0.4912,0.4912,159
160,0.02380275108194323,0.4788732394366197,0.4788732394366197,160
161,0.022216132829943572,0.4897213339424395,0.4897213339424395,161
162,0.020818756147769565,0.49488553336580615,0.49488553336580615,162
163,0.019763766765266016,0.5053818554587391,0.5053818554587391,163
164,0.01871703766689949,0.4926987560843699,0.4926987560843699,164
165,0.01763932436532821,0.4919724770642202,0.4919724770642202,165
166,0.016675931072818232,0.49333333333333335,0.49333333333333335,166
167,0.01583646426695754,0.5012755102040817,0.5012755102040817,167
168,0.01468955073195356,0.5065292096219931,0.5065292096219931,168
169,0.013914394688515326,0.49238578680203043,0.49238578680203043,169
170,0.013019493944069626,0.4949651432997676,0.4949651432997676,170
171,0.012348167935083917,0.4751020408163265,0.4751020408163265,171
172,0.01163786588745025,0.45800865800865803,0.45800865800865803,172
173,0.010925935249987412,0.47465437788018433,0.47465437788018433,173
174,0.010247324924755644,0.4774066797642436,0.4774066797642436,174
175,0.009680892815811455,0.47193347193347196,0.47193347193347196,175
176,0.009084232870235305,0.48172757475083056,0.48172757475083056,176
177,0.008609071708739816,0.4883177570093458,0.4883177570093458,177
178,0.00798278774229872,0.49370277078085645,0.49370277078085645,178
179,0.007446787128414367,0.5020242914979757,0.5020242914979757,179
180,0.007022232045086949,0.5107296137339056,0.5107296137339056,180
181,0.006558331994215009,0.5222052067381318,0.5222052067381318,181
182,0.006054642394545801,0.5207296849087893,0.5207296849087893,182
183,0.0058024555027958195,0.5207612456747405,0.5207612456747405,183
